id;name;website;vertical;sub_vertical;country;region;city;logo_url;estadio_actual;solucion;mail;social_media;contact_phone;founders;founded;organization_type;outcome_status;business_model;badges;notes;status;lat;lng
;Glovo;glovoapp.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Soplaya;soplaya.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Just Eat Takeaway;justeattakeaway.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Ambronite;ambronite.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Sproud;besproud.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Anuvia;anuviaplantnutrients.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Feed.;feed.co;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Soylent;soylent.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Digital Patisserie;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Shiok Meats;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Sencrop;sencrop.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Seakura;seakura.net;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Back of the Yards Algae Sciences;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;SavorEat;savor-eat.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Spira;spirainc.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Saturo;saturo.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Saturas;google.com/search;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;LettUs Grow;lettusgrow.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Ripple Foods;ripplefoods.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Beta Hatch;betahatch.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Remilk;remilk.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Koia;drinkkoia.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;REBBL;rebbl.co;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Jimmy Joy;jimmyjoy.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Huel;huel.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Queal;queal.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;FoodCloud;foodcloud.ie;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Hummingbird Technologies;google.com/search;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Collectiv food;collectivfood.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;BlueNalu;bluenalu.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;FoodLogiQ;foodlogiq.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Misfits Market;misfitsmarket.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;ComplianceMate;compliancemate.com;otra;food_safety;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Vertical Future;verticalfuture.co.uk;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Olio;olioex.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;v2food;v2food.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Change Foods;changefoods.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Upward Farms;eatupwardfarms.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;FareShare;fareshare.org.uk;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mana;drinkmana.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Novameat;novameat.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Notpla;notpla.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Genecis;genecis.co;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Iron Ox;google.com/search;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Noblegen;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Next Protein;nextprotein.co;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Uber Eats;ubereats.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Zomato;zomato.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Natural Machines;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Ostara;ostara.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Bertrand;bertrand.bio;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Copia;gocopia.com;otra;waste_upcycling;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;AgriProtein;agriprotein.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Frubana;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Loliware;loliware.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Miyoko's Creamery;miyokos.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Enterra;google.com/search;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Entocycle;entocycle.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Inalve;inalve.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Imagindairy;imagindairy.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;AgroScout;agroscout.ai;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;The Every Company;every.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Swiggy;swiggy.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Wolt;wolt.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;SupPlant;supplant.me;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Farmy;farmy.ch;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;YFood;yfood.eu;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Califia Farms;califiafarms.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Tastewise;tastewise.io;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Soil Connect;soilconnect.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Hazel Technologies;hazeltechnologies.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Kalera;kalera.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Nori;nori.com;agtech;carbon_solutions;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;SoilCarbon;soilcarbon.co;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;TotalCtrl;totalctrl.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Genomadix;genomadix.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Food Safety System;foodsafesystem.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Zume;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;New Culture;newculture.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Naïo Technologies;naio-technologies.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Algama;algamafoods.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Triton Algae Innovations;tritonai.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Metos;metos.at;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Microphyt;microphyt.eu;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Connecting Food;connecting-food.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;AgriDigital;agridigital.io;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;iFarm;ifarm.fi;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;GrubMarket;grubmarket.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Aleph Farms;aleph-farms.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Babylon Micro-Farms;babylonmicrofarms.com;agtech;indoor_ag;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Clear Labs;clearlabs.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Jones Food Company;jonesfoodcompany.co.uk;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Solar Foods;solarfoods.fi;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Pairwise;pairwise.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Kitro;kitro.ch;otra;waste_upcycling;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Equinom;equi-nom.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Freight Farms;freightfarms.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Orbisk;orbisk.com;otra;waste_upcycling;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;WaterBit;google.com/search;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Redefine Meat;redefinemeat.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Air Protein;airprotein.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;xFarm;xfarm.ag;agtech;digital_ag;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Geltor;geltor.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Deep Planet;deepplanet.ai;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Agoro Carbon Alliance;agorocarbonalliance.com;agtech;carbon_solutions;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Steakholder Foods;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Talabat;talabat.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2022;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Authena;authena.io;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Dogtooth Technologies;dogtooth.tech;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Bear Flag Robotics;bearflagrobotics.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Finless Foods;finlessfoods.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Bext360;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Beyond Meat;beyondmeat.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Impossible Foods;impossiblefoods.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Flying Spark;flyingspark.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Bluu Seafood;bluu.bio;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;HelloFresh;hellofresh.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;BrightFarms;brightfarms.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Intello Labs;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Calysta;calysta.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;EntoCube;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;iAuditor;safetyculture.com;otra;food_safety;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Clara Foods;clarafoods.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Good Catch;goodcatchfoods.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Netled;netled.fi;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Invisible Sentinel;invisiblesentinel.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Kitche;kitche.co;otra;waste_upcycling;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Little Leaf Farms;littleleaffarms.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Meatable;meatable.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mori;mori.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mosa Meat;mosameat.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mushlabs;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Mycorena;google.com/search;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;NotCo;thenotcompany.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;NovoNutrients;novonutrients.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Octinion;octinion.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Oritain;oritain.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Provenance;provenance.org;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Pure Harvest;pureharvestfarms.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Revol Greens;revolgreens.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Ripe.io;ripe.io;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Root AI;root-ai.com;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;SafeTraces;safetraces.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
;Sound Agriculture;sound.ag;agtech;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2021;startup;S/D;S/D;S/D;S/D;DRAFT;;
;SourceTrace;sourcetrace.com;otra;otra_especificar;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;S/D;2020;startup;S/D;S/D;S/D;S/D;DRAFT;;
